Row,Equipment Number,Original Description,Suspect Tokens
11005,2000113458,Building Heating Dump To Demin Wt R Tank Posion South,"R, South, Wt"
11008,2000113464,31 Aux Building Heating Heat Exchanger Drain Valve Posion South,South
11009,2000113466,31 Aux Building Heating Heat Exchanger Drain Valve Posion South,South
11010,2000113467,31 Building Heating Water Pump Recirvlv Closed Limit Switch,Pump
11011,2000113470,31 Building Heater Water Pump Recirvlv 100% Open Lm,"Lm, Pump"
11012,2000113472,31 Ethylene Glycol Soln M U Tank Check,"M, U"
11013,2000113474,Ethylene Glycol Fill Chec K,K
11014,2000113476,31 Ethylene Glycol Soln M U Tank Fill Shto,"M, U"
11017,2000113482,Building Heating Circ Water Fill Ch Eck,Ch
11019,2000113486,31 Building Heating Circ Water Pump Discharge Check,Pump
11020,2000113488,32 Building Heating Circ Water Pump Discharge Check,Pump
11021,2000113490,Shutdwn Corrosion Prot T O 31 Aux Building H,"H, O, T"
11023,2000113600,32 Ash Water Return Pump South Uction Drain,"Pump, South"
11024,2000113602,33 Ash Water Return Pump South Uction Drain,"Pump, South"
11025,2000113604,Aaw-fe-30172 Isolation Va Lve,"fe, Va"
11026,2000113606,31 High Pressure Ash Water Pump Reci Rc Drain Valve,"Pump, Rc"
11027,2000113608,32 High Pressure Ash Water Pump Reci Rc Drain Valve,"Pump, Rc"
11028,2000113610,Low Pressure Ash Water Pump Recircu Lation Drain Valve,"Pump, Recircu"
11029,2000113612,31 High Pressure Ash Water Pump Suction Drain Valve,Pump
11030,2000113614,32 High Pressure Ash Water Pump Suction Drain Valve,Pump
11031,2000113617,31 Low Pressure Ash Water Pump Suction Drain Valve,Pump
11032,2000113619,32 Low Pressure Ash Water Pump Suction Drain Valve,Pump
11033,2000113621,31 Ash Water Return Pump Control Module,Pump
11034,2000113623,32 Ash Water Return Pump Control Module,Pump
11035,2000113625,33 Ash Water Return Pump Control Module,Pump
11036,2000113627,Ash Water Supply Cont Sta South Elec Control Module,South
11039,2000113633,31 Low Pressure Ash Water Pump Control Module,Pump
11040,2000113635,32 Low Pressure Ash Water Pump Control Module,Pump
11041,2000113637,31 Ash Water Return Pump Control Switch,Pump
11042,2000113639,32 Ash Water Return Pump Control Switch,Pump
11043,2000113641,33 Ash Water Return Pump Control Switch,Pump
11046,2000113647,31 Low Pressure Ash Water Pump Control Swtch,Pump
11047,2000113649,32 Low Pressure Ash Water Pump Control Swtch,Pump
11048,2000113651,31 Ash Water Return Pump Recirculation Cntrlvl,Pump
11049,2000113652,31 Ash Water Return Pump Recirculation,Pump
11050,2000113654,32 Ash Water Return Pump Recirculation Cntrlvl,Pump
11051,2000113657,32 Ash Water Return Pump Recirculation,Pump
11052,2000113658,33 Ash Water Return Pump Recirculation Cntrlvl,Pump
11053,2000113660,33 Ash Water Return Pump Recirculation Control,Pump
11054,2000113662,31 High Pressure Ash Water Pump Reci Rc Control Valve,"Pump, Rc"
11055,2000113665,31 High Pressure Ash Water Pump Discharge Reci,Pump
11056,2000113666,32 High Pressure Ash Water Pump Reci Rc Control Valve,"Pump, Rc"
11057,2000113668,32 High Pressure Ash Water Pump Discharge Reci,Pump
11061,2000113677,High Presure Ash Water Pr Pressure Control Valve,Pr
11062,2000113679,31 High Pressure Ash Water Pump Motor A Mmeter,"A, Pump"
11063,2000113681,32 High Pressure Ash Water Pump Motor A Mmeter,"A, Pump"
11064,2000113683,31 Ash Water Return Pump,Pump
11065,2000113685,32 Ash Water Return Pump,Pump
11066,2000113687,33 Ash Water Return Pump,Pump
11067,2000113689,E/P Low Pressure Ash Water Pump Recirculation Control,"E, P, Pump"
11068,2000113691,31 High Pressure Ash Water Pump Motor C Urrent Xdcr,"C, Pump"
11069,2000113693,32 High Pressure Ash Water Pump Motor C Urrent Xdcr,"C, Pump"
11071,2000113697,31 High Pressure Ash Water Pump Discharge Flow Orifice Pla,Pump
11072,2000113699,32 High Pressure Ash Water Pump Discharge Orifice Plate,Pump
11074,2000113784,Pf Flo Modem,Pf
11079,2000113801,Unit 3 Ash Water Return South Onic Flow Trnsd,"Onic, South, Trnsd"
11080,2000113803,Flow Element Low Pressure As H Water Pump Flow,"As, H, Pump"
11081,2000113805,Flow Element High Pressure A Sh Water Pump,"A, Pump, Sh"
11082,2000113807,Unit 3 Ash Water Return F Low Transmitter,F
11083,2000113809,Ash Water Return Pump Rec Irculation Isoatoin,"Irculation, Isoatoin, Pump"
11084,2000113811,32 Ash Water Return Pump Recirculation Isolation,Pump
11085,2000113813,33 Ash Water Return Pump Recirculation Isolation,Pump
11086,2000113815,31 Ash Water Return Pump D Ischarge Line Drain,"D, Pump"
11087,2000113817,31 Ash Water Return Pump R Ecirc Line Drain,"Pump, R"
11088,2000113819,32 Ash Water Return Pump D Ischarge Line Drain,"D, Pump"
11089,2000113821,32 Ash Water Return Pump R Ecirc Line Drain Valve,"Pump, R"
11090,2000113823,33 Ash Water Return Pump D Ischarge Line Drnvl,"D, Pump"
11091,2000113825,33 Ash Water Return Pump R Ecirc Line Drain Valve,"Pump, R"
11093,2000113831,31 High Pressure Ash Water Pump Disc Harge Isolation Valve,Pump
11094,2000113833,32 High Pressure Ash Water Pump Disc Harge Isolation Valve,Pump
11095,2000113835,31 Low Pressure Ash Water Pump Disc Harge Isolation Valve,Pump
11096,2000113837,32 Low Pressure Ash Water Pump Disc Harge Isolation Valve,Pump
11097,2000113838,31 High Pressure Ash Water Pump Reci Rc Control Valve Isolation,"Pump, Rc"
11098,2000113840,31 High Pressure Ash Water Pump Reci Rc Control Valve Isolation,"Pump, Rc"
11099,2000113843,32 High Pressure Ash Water Pump Reci Rc Control Valve Isolation,"Pump, Rc"
11100,2000113845,32 High Pressure Ash Water Pump Reci Rc Control Valve Isolation,"Pump, Rc"
11101,2000113847,Low Pressure Pumps Recirculation Recirculation Control Valve I,I
11102,2000113849,Low Pressure Pumps Recirculation Recirculation Control Valve I,I
11103,2000113851,31 High Pressure Ash Water Pump Pressure Indicator 3 0398 Isolation Valve,Pump
11104,2000113853,32 High Pressure Ash Water Pump Pressure Indicator 3 0397 Isolation Valve,Pump
11105,2000113855,31 Low Pressure Ash Water Pump Pressure Indicator 3 0396 Isolation Valve,Pump
11106,2000113857,32 Low Pressure Ash Water Pump Pressure Indicator 3 0395 Isolation Valve,Pump
11107,2000113859,31 High Pressure Ash Water Pump Pressure Switch 3 0750 Isolation Valve,Pump
11108,2000113861,31 High Pressure Ash Water Pump Pressure Switch 3 0750 Isolation Valve,Pump
11109,2000113863,32 High Pressure Ash Water Pump Pressure Switch 3 0751 Isolation Valve,Pump
11110,2000113865,32 High Pressure Ash Water Pump Pressure Switch 3 0751 Isolation Valve,Pump
11117,2000113879,L.pump. Ash Water. Supply Vent Valve,"L, pump"
11118,2000113881,L.pump. Ash Water. Supply Drai North Valven,"L, North, pump"
11119,2000113883,32 L.pump. Ash Water. Pump Discharge Vent Valve,"L, pump, Pump"
11120,2000113885,31 L.pump. Ash Water. Pump Discharge Vent Valve,"L, pump, Pump"
11124,2000113893,H.pump. Ash Water Supply Hea Der Drain Valve,"H, pump"
11125,2000113895,H.pump. Ash Water Supply Hea Der Vent Valve,"H, pump"
11126,2000113897,H.pump. Ash Water Supply Hea Der Vent Valve,"H, pump"
11127,2000113899,H.pump. Ash Water Supply Hea Der Drain Valve,"H, pump"
11128,2000114101,H.pump. Ash Water Supply Hea Der Vent Valve,"H, pump"
11129,2000114103,32 H.pump. Ash Water Pump Discharge Vent Valve,"H, pump, Pump"
11130,2000114105,31 H.pump. Ash Water Pump Discharge Vent Valve,"H, pump, Pump"
11131,2000114107,31 H.pump. Ash Water Pump Discharge Drain Valve,"H, pump, Pump"
11140,2000114125,Pulverizer Rejects Holding Tank A Sh Water Supply Ventvl,"A, Sh"
11141,2000114127,Pulverizer Rejects Holding Tank A Sh Water Supply Drain Valve,"A, Sh"
11142,2000114129,Pulverizer Rejects Holding Tank A Sh Water Supply Ventvl,"A, Sh"
11144,2000114133,Pc 30027 Pressure Control Ma Nual Isolation,"Ma, Pc"
11148,2000114141,31 High Pressure Ash Water Pump Discharge Drain Valve,Pump
11149,2000114143,31 High Pressure Ash Water Pump Discharge Vent Valve,Pump
11150,2000114145,31 High Pressure Ash Water Pump Discharge Drain Valve,Pump
11151,2000114147,32 High Pressure Ash Water Pump Discharge Drain Valve,Pump
11152,2000114149,32 High Pressure Ash Water Pump Discharge Vent Valve,Pump
11153,2000114151,32 High Pressure Ash Water Pump Discharge Drain Valve,Pump
11154,2000114153,Low Pressure Ash Water Pump Discharge Hdrvent Valve,Pump
11155,2000114155,Low Pressure Ash Water Pump Discharge Header Drain Valve,Pump
11156,2000114157,32 Hopper Ash Water Pump Recirc Hdrvent Valve,Pump
11157,2000114159,31 High Pressure Ash Lube Oil Tank D Rain,D
11158,2000114161,32 High Pressure Ash Lube Oil Tank D Rain,D
11161,2000114165,31 Ash Water Return Pump Run Ning Indicator Light,Pump
11162,2000114167,32 Ash Water Return Pump Run Ning Indicator Light,Pump
11163,2000114169,33 Ash Water Return Pump Run Ning Indicator Light,Pump
11164,2000114171,31 Ash Water Return Pump Tr Ipped Indicator Light,"Pump, Tr"
11165,2000114173,32 Ash Water Return Pump Tr Ipped Indicator Light,"Pump, Tr"
11166,2000114175,33 Ash Water Return Pump Tr Ipped Indicator Light,"Pump, Tr"
11167,2000114177,31 Ash Water Return Pump St Opped Indicator Light,"Pump, St"
11168,2000114179,32 Ash Water Return Pump St Opped Indicator Light,"Pump, St"
11169,2000114181,33 Ash Water Return Pump St Opped Indicator Light,"Pump, St"
11170,2000114183,31 Ash Water Return Pump Sta Rt Perm Indicator Light,"Pump, Rt"
11171,2000114185,32 Ash Water Return Pump Sta Rt Perm Indicator Light,"Pump, Rt"
11172,2000114187,33 Ash Water Return Pump Sta Rt Perm Indicator Light,"Pump, Rt"
11173,2000114189,31 Ash Water Return Pump In Standby Indicator Light,Pump
11174,2000114191,32 Ash Water Return Pump In Standby Indicator Light,Pump
11175,2000114193,33 Ash Water Return Pump In Standby Indicator Light,Pump
11176,2000114195,31 Ash Water Rtn Pump Standby Cleared Indicator Light,Pump
11177,2000114197,32 Ash Water Rtn Pump Standby Cleared Indicator Light,Pump
11178,2000114199,33 Ash Water Rtn Pump Standby Cleared Indicator Light,Pump
11182,2000114206,Pressure Indicator Opc Interface,Opc
11184,2000114301,31 Ash Water Rtn Pump Discharge Valve Closed Indicator Light,Pump
11185,2000114303,32 Ash Water Rtn Pump Discharge Valve Closed Indicator Light,Pump
11186,2000114305,33 Ash Water Rtn Pump Discharge Valve Closed Indicator Light,Pump
11187,2000114307,31 Ash Water Rtn Pump Discharge Valve Open Indicator Light,Pump
11188,2000114309,32 Ash Water Rtn Pump Discharge Valve Open Indicator Light,Pump
11189,2000114311,33 Ash Water Rtn Pump Discharge Valve Open Indicator Light,Pump
11190,2000114312,Pnd 3 Blower Discharge X Valve,X
11191,2000114313,31 Ash Water Rtn Pump Recircvlv Closed Indicator Light,Pump
11192,2000114315,32 Ash Water Rtn Pump Recircvlv Closed Indicator Light,Pump
11193,2000114317,33 Ash Water Rtn Pump Recircvlv Closed Indicator Light,Pump
11194,2000114319,31 Ash Water Rtn Pump Recircvlv Open Indicator Light,Pump
11195,2000114321,32 Ash Water Rtn Pump Recircvlv Open Indicator Light,Pump
11196,2000114323,33 Ash Water Rtn Pump Recircvlv Open Indicator Light,Pump
11197,2000114325,31 High Pressure Ash Water Pump Running Indicator Light,Pump
11198,2000114327,32 High Pressure Ash Water Pump Running Indicator Light,Pump
11199,2000114329,31 High Pressure Ash Water Pump Tripped Indicator Light,Pump
11200,2000114331,32 High Pressure Ash Water Pump Tripped Indicator Light,Pump
11201,2000114333,31 High Pressure Ash Water Pump Stopped Indicator Light,Pump
11202,2000114335,32 High Pressure Ash Water Pump Stopped Indicator Light,Pump
11203,2000114337,31 High Pressure Ash Water Pump Start Pump Erm Indicator Light,Pump
11204,2000114339,32 High Pressure Ash Water Pump Start Pump Erm Indicator Light,Pump
11205,2000114341,31 High Pressure Ash Water Pump Restart Perm Indicator Light,Pump
11206,2000114343,32 High Pressure Ash Water Pump Restart Perm Indicator Light,Pump
11207,2000114345,31 High Pressure Ash Water Pump Suctionvlv Closed Indicator Light,Pump
11208,2000114347,32 High Pressure Ash Water Pump Suctionvlv Closed Indicator Light,Pump
11209,2000114349,31 High Pressure Ash Water Pump Suctionvlv Open Indicator Light,Pump
11210,2000114351,32 High Pressure Ash Water Pump Suctionvlv Open Indicator Light,Pump
11211,2000114353,31 High Pressure Ash Water Pump Recirculation Valve Closed Indicator Light,Pump
11212,2000114355,32 High Pressure Ash Water Pump Recirculation Valve Closed Indicator Light,Pump
11213,2000114357,31 High Pressure Ash Water Pump Recirculation Valve Open Indicator Light,Pump
11214,2000114359,32 High Pressure Ash Water Pump Recirculation Valve Open Indicator Light,Pump
11215,2000114361,31 Low Pressure Ash Water Pump Running Indicator Light,Pump
11216,2000114363,32 Low Pressure Ash Water Pump Running Indicator Light,Pump
11217,2000114365,31 Low Pressure Ash Water Pump Tripped Indicator Light,Pump
11218,2000114366,32 Low Pressure Ash Water Pump Tripped Indicator Light,Pump
11219,2000114368,31 Low Pressure Ash Water Pump Stopped Indicator Light,Pump
11220,2000114371,32 Low Pressure Ash Water Pump Stopped Indicator Light,Pump
11221,2000114372,31 Low Pressure Ash Water Pump Start Pump Erm Indicator Light,Pump
11222,2000114374,32 Low Pressure Ash Water Pump Start Pump Erm Indicator Light,Pump
11223,2000114376,31 Low Pressure Ash Water Pump Suctionvlv Closed Indicator Light,Pump
11224,2000114378,32 Low Pressure Ash Water Pump Suctionvlv Closed Indicator Light,Pump
11225,2000114380,31 Low Pressure Ash Water Pump Suctionvlv Open Indicator Light,Pump
11226,2000114382,32 Low Pressure Ash Water Pump Suctionvlv Open Indicator Light,Pump
11233,2000114396,Bottom Ash Pond Discharge Sluice Gate Open Indicator L,L
11239,2000114417,2XH Freeze Protection,2XH
11240,2000114419,1 Por Slurry Pump Recp,"Por, Pump"
11241,2000114420,1 Vacuum Pump,Pump
11247,2000114476,Demin Water Storage Tank Frez Pump Rotect,"Pump, Rotect"
11253,2000114488,Waste Chem Vent Freeze Pr Otect,"Otect, Pr"
11255,2000114702,Recycle Basin Level Eleme Nt,"Eleme, Nt"
11256,2000114704,31 High Pressure Aw Pump Oil Res Ervoir Level Indicator,"Aw, Pump"
11257,2000114706,32 High Pressure Aw Pump Oil Res Ervoir Level Indicator,"Aw, Pump"
11259,2000114710,31ASH Water Supply Panel Annu Nciator Control T,"31ASH, Annu, Nciator, T"
11260,2000114712,31 Awp Annunciator Horn M Iscellaneous I,"I, Iscellaneous, M"
11261,2000114714,Mcp Control Selec/awr Pm Pressure Switch Matrix Light Push Button,"awr, Pm"
11263,2000114718,31 Ash Water Return Pump Sta Rt Perm Matrix Light,"Pump, Rt"
11264,2000114720,32 Ash Water Return Pump Sta Rt Perm Matrix Light,"Pump, Rt"
11265,2000114722,33 Ash Water Return Pump Sta Rt Perm Matrix Light,"Pump, Rt"
11266,2000114724,31 Ash Water Return Pump Sta Ndby Matrix Light,Pump
11267,2000114726,32 Ash Water Return Pump Sta Ndby Matrix Light,Pump
11268,2000114728,33 Ash Water Return Pump Sta Ndby Matrix Light,Pump
11269,2000114730,31 Ash Water Return Pump Discharge Valve Matrix Light,Pump
11270,2000114732,32 Ash Water Return Pump Discharge Valve Matrix Light,Pump
11271,2000114734,33 Ash Water Return Pump Discharge Valve Matrix Light,Pump
11272,2000114735,31 Ash Water Return Pump Rec Ircvlv Matrix Light,Pump
11273,2000114737,32 Ash Water Return Pump Rec Ircvlv Matrix Light,Pump
11274,2000114739,33 Ash Water Return Pump Rec Ircvlv Matrix Light,Pump
11275,2000114741,31 High Pressure Ash Water Pump Start Pump Erm Matrix Light,Pump
11276,2000114743,32 High Pressure Ash Water Pump Start Pump Erm Matrix Light,Pump
11277,2000114745,31 High Pressure Ash Water Pump Restart Perm Matrix Light,Pump
11278,2000114747,32 High Pressure Ash Water Pump Restart Perm Matrix Light,Pump
11279,2000114749,31 High Pressure Ash Water Pump Suctionvlv Matrix Light,Pump
11280,2000114751,32 High Pressure Ash Water Pump Suctionvlv Matrix Light,Pump
11281,2000114753,31 High Pressure Ash Water Pump Recircvlv Matrix Light,Pump
11282,2000114755,32 High Pressure Ash Water Pump Recircvlv Matrix Light,Pump
11283,2000114757,31 Low Pressure Ash Water Pump Start Pump Erm Matrix Light,Pump
11284,2000114759,32 Low Pressure Ash Water Pump Start Pump Erm Matrix Light,Pump
11285,2000114761,31 Low Pressure Ash Water Pump Suctionvlv Matrix Light,Pump
11286,2000114763,32 Low Pressure Ash Water Pump Suctionvlv Matrix Light,Pump
11288,2000114767,Mcp Control Selec/aw Pump South Matrix Light Push Button,"aw, Pump, South"
11290,2000114771,Low Pressure Aw Pumps Recirculation Vent Not Closed Matrix Pnt,Aw
11291,2000114774,Low Pressure Aw Pumps Recirculation Vent Not 100%open Matrix Pump,"Aw, Pump"
11292,2000114776,31 Ash Water Return Pump Sta Ndby Pushbutton,Pump
11293,2000114777,32 Ash Water Return Pump Sta Ndby Pushbutton,Pump
11294,2000114779,33 Ash Water Return Pump Sta Ndby Pushbutton,Pump
11295,2000114781,31 Awp Annunciator Test Pump Ushbutton,Pump
11296,2000114783,31 Awp Annunciator Acknow Ledge Pushbutt,"Acknow, Ledge"
11297,2000114785,High Pressure Ash Water Supply Pressure C Ont Valve,C
11299,2000114789,32 Low Pressure Ash Water Pump Discharge Pressure Indicator,Pump
11300,2000114791,31 Low Pressure Ash Water Pump Discharge Pressure Indicator,Pump
11301,2000114793,32 High Pressure Ash Water Pump Discharge Pressure Indicator,Pump
11302,2000114795,31 High Pressure Ash Water Pump Discharge Pressure Indicator,Pump
11313,2000114903,31 High Pressure Aw Pump Aux Lo Pump Discharge Pressure Indicator,"Aw, Lo, Pump"
11314,2000114905,32 High Pressure Aw Pump Aux Lo Pump Discharge Pressure Indicator,"Aw, Lo, Pump"
11315,2000114907,Low Pressure Ash Water Pumps Discharge Flo W Differential Pressure,W
11316,2000114909,Low Pressure Ash Water Pump In/outlet Differential Pressure Differential Pressure,Pump
11317,2000114911,31 High Pressure Ash Water Pump Discharge Flow Differential Pressure,Pump
11318,2000114913,32 High Pressure Ash Water Pump Discharge Flow Differential Pressure,Pump
11319,2000114915,31 Ash Water Return Pump Discharge Pressure Switch,Pump
11320,2000114917,32 Ash Water Return Pump Discharge Pressure Switch,Pump
11321,2000114919,33 Ash Water Return Pump Discharge Pressure Switch,Pump
11324,2000114925,31 High Pressure Ash Water Pump Oil Pressure Switch Lpi/lpa,Pump
11325,2000114927,32 High Pressure Aw Pump Aux Lube Oil Pressure Low Lpi/,"Aw, Pump"
11326,2000114929,31 High Pressure Aw Water Pump Lo Press Switch Hpi/hpa,"Aw, Lo, Pump"
11327,2000114931,32 High Pressure Aw Pump Bearing Lube Oil Pressure Low Lpa/,"Aw, Pump"
11329,2000114935,Ash Water Retsply Pump Pressure Pressure Transmit,"Pump, Retsply"
11333,2000114943,31 High Pressure Aw Pump Oil Pump Relief Valve,"Aw, Pump"
11335,2000114947,31 High Pressure Ash Water Pump Suction,Pump
11336,2000114949,32 High Pressure Ash Water Pump Suction,Pump
11337,2000114951,31 Low Pressure Ash Water Pump Suction,Pump
11338,2000114953,32 Low Pressure Ash Water Pump Suction,Pump
11339,2000114955,31 Ash Water Rtn Pump Recirculation Cont 3-way Sol,Pump
11340,2000114957,32 Ash Water Rtn Pump Recirculation Cont 3-way Sol,Pump
11341,2000114959,33 Ash Water Rtn Pump Recirculation Cont Solinoid Valve,Pump
11342,2000114960,31 High Pressure Ash Water Pump Recirculation Cont 3-way Soln,Pump
11343,2000114962,32 High Pressure Ash Water Pump Recirculation Cont 3-way Soln,Pump
11344,2000114965,31 Ash Water Return Pump Selector Switch,Pump
11345,2000114966,32 Ash Water Return Pump Selector Switch,Pump
11346,2000114969,33 Ash Water Return Pump Selector Switch,Pump
11347,2000114970,31 High Pressure Ash Water Pump Selector Switch,Pump
11348,2000114972,32 High Pressure Ash Water Pump Selector Switch,Pump
11349,2000114974,31 Low Pressure Ash Water Pump Selector Switch,Pump
11350,2000114977,32 Low Pressure Ash Water Pump Selector Switch,Pump
11351,2000114978,31 High Pressure Ash Water Pump Aux Oil Pump Selector Switch,Pump
11352,2000114980,32 High Pressure Ash Water Pump Aux Oil Pump Selector Switch,Pump
11353,2000114982,Bottom Ash Pond Discharge Sluice Gate Selector South,South
11354,2000114984,31 High Pressure Aw Pump Motor Stator Winding Ph A Resist Tm,"A, Aw, Ph, Pump, Tm"
11355,2000114986,31 High Pressure Aw Pump Motor Stator Winding Ph B Resist Tm,"Aw, B, Ph, Pump, Tm"
11356,2000114988,31 High Pressure Aw Pump Motor Stator Winding Ph C Resist Tm,"Aw, C, Ph, Pump, Tm"
11357,2000114990,31 High Pressure Aw Pump Motor Stator Winding Ph A Resist Tm,"A, Aw, Ph, Pump, Tm"
11358,2000114992,31 High Pressure Aw Pump Motor Stator Winding Ph B Resist Tm,"Aw, B, Ph, Pump, Tm"
11359,2000114994,31 High Pressure Aw Pump Motor Stator Winding Ph C Resist Tm,"Aw, C, Ph, Pump, Tm"
11360,2000114996,32 High Pressure Aw Pump Motor Stator Winding Ph A Resist Tm,"A, Aw, Ph, Pump, Tm"
11361,2000114998,32 High Pressure Aw Pump Motor Stator Winding Ph B Resist Tm,"Aw, B, Ph, Pump, Tm"
11365,2000115300,32 High Pressure Aw Pump Motor Stator Winding Ph C Resist Tm,"Aw, C, Ph, Pump, Tm"
11366,2000115302,32 High Pressure Aw Pump Motor Stator Winding Ph A Resist Tm,"A, Aw, Ph, Pump, Tm"
11367,2000115304,32 High Pressure Aw Pump Motor Stator Winding Ph B Resist Tm,"Aw, B, Ph, Pump, Tm"
11368,2000115306,32 High Pressure Aw Pump Motor Stator Winding Ph C Resist Tm,"Aw, C, Ph, Pump, Tm"
11369,2000115308,Recycle Basin Lvl Signal T Comp Resist Tm,"T, Tm"
11370,2000115310,31 High Pressure Ash Water Pump Inbrd Bearing Temperature E,"E, Pump"
11371,2000115312,32 High Pressure Ash Water Pump Inbrd Bearing Temperature E,"E, Pump"
11372,2000115314,31 High Pressure Ash Water Pump Outboar D Bearing Temperature,"D, Pump"
11373,2000115316,32 High Pressure Ash Water Pump Outboar D Bearing Temperature,"D, Pump"
11374,2000115318,31 High Pressure Aw Pump Thr Bearing Inbd Surface Temperature,"Aw, Pump"
11375,2000115320,32 High Pressure Aw Pump Thr Bearing Inbd Surface Temperature,"Aw, Pump"
11376,2000115322,31 High Pressure Aw Pump Thr Bearing Outbd Surface Temperature ,"Aw, Pump"
11377,2000115324,32 High Pressure Aw Pump Thr Bearing Outbd Surface Temperature ,"Aw, Pump"
11378,2000115326,31 High Pressure Aw Pump Motor Inboar D Bearing Temperature,"Aw, D, Pump"
11379,2000115328,32 High Pressure Aw Pump Motor Inboar D Bearing Temperature,"Aw, D, Pump"
11380,2000115330,31 High Pressure Aw Pump Motor Outboa Rd Bearing Temperature,"Aw, Pump, Rd"
11381,2000115332,32 High Pressure Aw Pump Motor Outboa Rd Bearing Temperature,"Aw, Pump, Rd"
11382,2000115334,31 Ash Water Return Pump Di Scharge Vent Valve,"Di, Pump"
11383,2000115336,Ash Water Return Strainer Pump South-30822 & Pi30567 I,"I, Pi30567, Pump, South"
11384,2000115338,Ash Water Return Strainer Pump South-30822 & Pi30566 I,"I, Pi30566, Pump, South"
11385,2000115340,Pressure Switch-30812 Ash Water Rtn Pump Manl Isolation,Pump
11386,2000115342,Pressure Switch-30813 Ash Water Rtn Pump Manl Isolation,Pump
11387,2000115344,Pressure Switch-30814 Ash Water Rtn Pump Manl Isolation,Pump
11388,2000115346,31 Ash Water Return Pump R Ecirc Line Vent,"Pump, R"
11389,2000115348,32 Ash Water Return Pump R Ecirc Line Vent,"Pump, R"
11390,2000115350,33 Ash Water Return Pump R Ecirc Line Vent,"Pump, R"
11391,2000115352,31 Ash Water Return Pump R Ecirc Line Vent,"Pump, R"
11392,2000115354,32 Ash Water Return Pump R Ecirc Line Vent,"Pump, R"
11393,2000115355,33 Ash Water Return Pump R Ecirc Line Vent Valve,"Pump, R"
11394,2000115357,32 Ash Water Return Pump D Ischarge Vent Valve,"D, Pump"
11395,2000115359,33 Ash Water Return Pump D Ischarge Vent Valve,"D, Pump"
11397,2000115363,32 Low Pressure Ash Water Pump Suction Test Conn,Pump
11398,2000115365,31 Low Pressure Ash Water Pump Suction Test Conn,Pump
11399,2000115367,32 High Pressure Ash Water Pump Suction Test Conn,Pump
11400,2000115369,31 High Pressure Ash Water Pump Suction Test Conn,Pump
11401,2000115371,Needle Valve/recir Isoltn,Isoltn
11404,2000115378,Ash Water Return Strainer D Ischarge Shtoff,D
11405,2000115380,Ash Water Return Strainer South Upply,South
11406,2000115382,Ash Water Return Strainer B Ypass,B
11407,2000115384,31 Ash Water Return Pump Discharge Lmtorque,Pump
11408,2000115385,301 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11409,2000115386,31 Ash Water Return Pump Discharge Lmtorque,Pump
11410,2000115387,302 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11411,2000115388,32 Ash Water Return Pump Discharge Lmtorque,Pump
11412,2000115389,32 Ash Water Return Pump Discharge Lmtorque,Pump
11413,2000115390,303 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11414,2000115391,33 Ash Water Return Pump D Ischarge Lmtorque,"D, Pump"
11415,2000115392,304 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11416,2000115393,305 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11417,2000115394,33 Ash Water Return Pump Discharge Lmtorque,Pump
11418,2000115395,31 Ash Water Return Pump South Uction Valve,"Pump, South"
11419,2000115396,306 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11420,2000115397,307 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11421,2000115398,32 Ash Water Return Pump South Uction Locked Open,"Pump, South"
11422,2000115399,33 Ash Water Return Pump South Uction Locked Open,"Pump, South"
11430,2000115500,308 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11431,2000115501,31 High Pressure Ash Water Pump Suction Valve,Pump
11432,2000115502,309 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11433,2000115503,310 Coal Pulverizer Non-intgrd Cnt Stn Control M,M
11434,2000115504,32 High Pressure Ash Water Pump Suction Valve,Pump
11435,2000115505,31 Low Pressure Ash Water Pump Suction Valve,Pump
11436,2000115506,Suphtr Desuphtr Spray Wtrvlvs Control Modu,Wtrvlvs
11437,2000115507,32 Low Pressure Ash Water Pump Suction Valve,Pump
11438,2000115508,Main Steam Ln Power Relvlvs Control Module,"Ln, Relvlvs"
11439,2000115509,Main Steam Line Vents Control Module,Vents
11440,2000115510,High Pressure Ash Water Pressure Cv Isola Tion Valve,Cv
11441,2000115511,Mn Steam Drip Leg Drain Val Ves Control Module,Mn
11442,2000115512,High Pressure Ash Water Pressure Cv Isola Tion Valve,Cv
11443,2000115513,Trb High Pressure Steam Line Drain Va Lves Control Module,"Lves, Va"
11444,2000115514,Aaw Cv 3281 Manual Bypass,Cv
11445,2000115515,31 2ND Stg Sh Desuperhtr Spray Control Valve,Sh
11446,2000115516,31 Ash Water Rtn Pump Recircvlv Open Limit Switcht,Pump
11447,2000115517,31 2ND Stg Sh Desuperhtr Spray Control Valve,Sh
11448,2000115518,31 Ash Water Rtn Pump Recircvlv Closed Limit Switch,Pump
11449,2000115519,32 2ND Stg Sh Desuperhtr Spray Control Valve,Sh
11450,2000115520,32 Ash Water Rtn Pump Recircvlv Open Limit Switcht,Pump
